song,artist,genre,lyrics
bad guy,Billie Eilish,"['art pop', 'pop']","345 ContributorsTranslationsHrvatskiTürkçeSvenskaEspañolРусскийRomânăPortuguêsPolskiItalianoHebrewDeutschFrançaisفارسیNederlandsDanskChinese TraditionalΕλληνικάالعربيةไทย / Phasa Thai​bad guy Lyrics
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know
You might also like
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy, duh
I'm only good at bein' bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm, I'm a bad guy
Bad guy, bad guy
I'm a bad345Embed"
Something Just Like This,The Chainsmokers,['pop'],"194 ContributorsTranslationsPortuguêsDeutschSomething Just Like This Lyrics
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spider-Man's control
And Batman with his fists
And clearly I don't see myself upon that list

But she said, ""Where d'you wanna go?
How much you wanna risk?""
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
I want something just like this
You might also like
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

She said, ""Whered 'you wanna go?
How much you wanna risk?""
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss

I want something just like this
I want something just like this

Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Where d'you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this126Embed"
Bohemian Rhapsody - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']","1 ContributorTop Groups of 2021 LyricsBTS - Butter
Maroon 5 - Memories
Imagine Dragons - Follow You
One Direction - Best Song Ever
Queen - Bohemian Rhapsody
The Beatles - Let It Be (Remastered 2009)
Måneskin - Beggin'
Arctic Monkeys - Why'd You Only Call Me When You're High?
Linkin Park - In the End
BLACKPINK - Ice Cream (with Selena Gomez)
Twenty One Pilots - Shy Away
$uicideboy$ - ...And to Those I Love, Thanks for Sticking Around
The Neighbourhood - Sweater Weather
Red Hot Chili Peppеrs - Scar Tissue
AC/DC - Thunderstruck
Black Eyed Pеas - I Gotta Feeling
OneRepublic - Someday
Metallica - Enter Sandman
Little Mix - Sweet Melody
Zé Felipe & Os Barões Da Pisadinha - Senta Danada
The Chainsmokers, ILLENIUM & Lennon Stella - Takeaway
Glass Animals - Heat Waves
TWICE - The Feels
Nirvana - Come As You Are
Migos - Straightenin
Banda MS de Sergio Lizárraga - La Casita
Reik & Maluma - Perfecta
Grupo Firme - Ya Supérame (En Vivo)
Green Day - Boulevard of Broken Dreams
5 Seconds of Summer - Youngblood
ABBA - Chiquitita
The Rolling Stones - Start Me Up (Remastered 2009)
Panic! At The Disco - High Hopes
Pink Floyd - Wish You Were Here (2011 Remaster)
Bob Marley & The Wailers - Is This Love
Guns N' Roses - Sweet Child O' Mine
Jorge & Mateus - Namorando Com Saudade
Internet Money - His & Hers (feat. don Toliver, Lil Uzi Vert & Gunna)
Tame Impala - Borderline
Wisin & Yandel, Chris Brown & T-Pain - Algo Me Gusta De Ti
Daft Punk - One More Time
Jonas Brothers - Sucker
Aventura & Bad Bunny - Volví
U2 - Beautiful Day
Bring Me The Horizon - DiE4u
Bon Jovi - It's My Life
Led Zeppelin - Whole Lotta Love (1990 Remaster)
Calibre 50 - A La Antigüita
Henrique & Juliano - Arranhão (Ao Vivo)
Stray Kids - ThunderousEmbed"
Take Me To Church,Hozier,"['irish singer-songwriter', 'modern rock', 'pov: indie']","344 ContributorsTranslationsفارسیEspañolFrançaisDeutschTake Me to Church Lyrics
My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's gettin' more bleak
A fresh poison each week
We were born sick, you heard them say it
My church offers no absolutes
She tells me, ""Worship in the bedroom""
The only heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well

A, amen
Amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Oh, good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Oh, good God, let me give you my life
See Hozier LiveGet tickets as low as $60You might also like
If I'm a pagan of the good times
My lover's the sunlight
To keep the goddess on my side
She demands a sacrifice
Drain the whole sea, get somethin' shiny
Somethin' meaty for the main course
That's a fine lookin' high horse
What you got in the stable?
We've a lot of starvin' faithful
That looks tasty, that looks plenty
This is hungry work

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Oh, good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Oh, good God, let me give you my life

No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then, I am human, only then, I am clean
Oh, oh, amen
Amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Oh, good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Oh, good God, let me give you my life

1.6KEmbed"
Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']","136 ContributorsTranslationsEspañolPortuguêsPolskiDeutschفارسیNederlandsČeskyCircles Lyrics
Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go
See Post Malone LiveGet tickets as low as $309You might also like
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away211Embed"
Shallow,Lady Gaga,"['art pop', 'dance pop', 'pop']","253 ContributorsTranslationsEspañolPortuguêsItalianoFrançaisNederlandsΕλληνικάРусскийShallow Lyrics
Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?

I'm fallin'
In all the good times, I find myself longin'
For change
And, in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryna fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?

I'm falling
In all the good times, I find myself longing
For change
And, in the bad times, I fear myself

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now
You might also like
In the sha-ha, sha-hallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, sha-hallow
We're far from the shallow now

Oh, ha, ah, ha
Oh-ah, ha

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, shallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, shallow
We're far from the shallow now362Embed"
All of Me,John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']","182 ContributorsTranslationsEspañolPortuguêsΕλληνικάDeutschالعربيةFrançaisAll of Me Lyrics
What would I do without your smart mouth?
Drawing me in and you kicking me out
You've got my head spinning, no kidding
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh
You might also like
How many times do I have to tell you?
Even when you're crying, you're beautiful, too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh872Embed"
Riptide,Vance Joy,"['folk-pop', 'modern rock']","149 ContributorsTranslationsPortuguêsEspañolDeutschRiptide Lyrics
I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turnin' green
You're the magician's assistant in their dream

Oh-ooh, oh-oh
And they come unstuck

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's runnin' from himself
And she's been livin' on the highest shelf

Oh-ooh, oh-oh
And they come unstuck
You might also like
Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you, when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Oh lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong, yeah
I got a lump in my throat 'cause
You're gonna sing the words wrong362Embed"
Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']","210 ContributorsTranslationsSlovenčinaPortuguêsΕλληνικάMagyarThunder Lyrics
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my own life behind
Not a ""Yes, sir,"" not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

Thunder, thunder
Thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

Thunder, feel the thunder (Thunder, thunder, thun-)
Lightning then the thunder (Thunder, th-th-thunder, thunder)
Thunder, feel the thunder (Thunder, thunder, thun-, thun-)
Lightning then the thunder, thunder, thunder (Th-th-thunder)
Thunder (Thun-, thun-)

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say, ""You're basic,"" they say, ""You're easy""
You're always riding in the backseat
Now I'm smiling from the stage
While you were clapping in the nosebleeds
You might also like
Thunder, thunder
Thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

Thunder, feel the thunder (Thunder, thunder, thun-)
Lightning then the thunder (Thunder, th-th-thunder, thunder)
Thunder, feel the thunder (Thunder, thunder, thun-, thun-)
Lightning then the thunder, thunder, thunder (Th-th-thunder)
Thunder (Thun-, thun-)

Thunder, feel the thunder
Lightning then the thunder, thunder

Thunder, feel the thunder (Thunder, thunder, thun-)
Lightning then the thunder, thunder (Thunder, th-th-thunder, thunder)
Thunder, feel the thunder (Thunder, thunder, thun-, thun-)
Lightning then the thunder, thunder (Th-th-thunder)
Thunder, feel the thunder (Thunder, thunder, thun-)
(Never give up, never give up)
Lightning then the thunder, thunder (Thunder, th-th-thunder, thunder)
(Never give up on your dreams)
Thunder, feel the thunder (Thunder, thunder, thun-, thun-)
(Never give up, never give up)
Lightning then the thunder, thunder (Th-th-thunder)
(Never give up on your dreams)
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
(Woah-oh-ohh)
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
(Woah-oh-ohh)
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder145Embed"
Counting Stars,OneRepublic,"['piano rock', 'pop']","205 ContributorsTranslationsTürkçeΕλληνικάCounting Stars Lyrics
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Yeah, we'll be countin' stars

I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye' shall find

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told

I feel something so right doin' the wrong thing
I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""
See OneRepublic LiveGet tickets as low as $85You might also like
I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told

I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that downs me makes me wanna fly

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned

Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be counting stars""

Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned428Embed"
7 rings,Ariana Grande,['pop'],"476 ContributorsTranslationsTürkçeEspañolRomânăPortuguêsPolskiItalianoHebrewΕλληνικάDeutschFrançaisNederlandsDanskفارسی7 rings Lyrics
Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms
You might also like
My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah
I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)470Embed"
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']","3 ContributorsHot Rap Songs Chart 25th Anniversary: Top 100 Songs LyricsTo honor the 25th anniversary of Billboard's Hot Rap Songs chart, we’re counting down the tally's top 100 tracks ever
Rap is a victorious genre. Having built its history on songs of overcoming the harshest of hard-knock lives, in addition to observances of all of life's nuances, rap is more than just dope beats and rhymes. Its lyrics tell stories with insights and uncommon honesty, traits that have ultimately taken the genre from niched inner-city beginnings to a longstanding place at the heart of pop culture
So it was fitting for Billboard to create a chart, in 1989, dedicated to the then-rising genre, birthed out of hip-hop. At the time, MTV's influential ""Yo! MTV Raps"" was only a few months old, and acts like Ice-T and N.W.A were not only ruling rap but beginning to enter the mainstream music conversation
While rap has evolved, there’s no denying its ever-growing power. To celebrate the 25th anniversary of the Billboard’s Hot Rap Songs chart, we’re counting down the top 100 songs in the tally’s quarter-century history. From Salt-N-Pepa to Macklemore, we've got the genre's past quarter-century covered
100. ""All of the Lights"" - Kanye West
99. ""No Lie"" - 2 Chainz feat. Drake
98. ""Aston Martin Music"" - Rick Ross feat. Drake & Chrisette Michelle
97. ""Loungin"" - LL Cool J
96. ""O.P.P."" - Naughty By Nature
95. ""Heartless"" - Kanye West
94. ""Player's Ball"" - OutKast
93. ""Holla Holla"" - Ja Rule
92. ""Left/Right"" - Drama
91. ""Call Me D-Nice"" - D-Nice
90. ""C'Mon N' Ride It (The Train)"" - Quad City DJ's
89. ""Looking At The Front Door"" - Main Source
88. ""Money Maker"" - Ludacris feat. Pharrell
87. ""The Way You Move"" - OutKast feat. Sleepy Brown
86. ""Jigga My N****"" - Jay Z
85. ""Slow Motion"" - Juvenile feat. Soulja Slim
84. ""Headlines"" - Drake
83. ""Got Money"" - Lil Wayne feat. T-Pain
82. ""My Baby"" - Lil' Romeo
81. ""Lovers & Friends"" - Lil Jon & The East Side Boyz feat. Usher & Ludacris
80. ""Damn!"" - YoungBloodZ feat. Lil Jon
79. ""Whistle While You Twurk"" - Ying Yang Twins
78. ""(Hot S**t) Country Grammar"" - Nelly
77. ""Crank That (Soulja Boy)"" - Soulja Boy Tellem
76. ""Jump"" - Kriss Kross
75. ""Po Pimp"" - Do Or Die feat. Twista
74. ""Dunkie Butt (Please Please Please) - 12 Guage
73. ""Lights, Camera, Action!"" - Mr. Cheeks
72. ""I'll Do 4 U"" - Father M.C
71. ""Lookin' At Me"" - Mase feat. Puff Daddy
70. ""Independent"" - Webbie feat. Lil' Phat & Lil' Boosie
69. ""Drank In My Cup"" - Kirko Bangz
68. ""4, 5, 6"" - Sole feat. JT Money & Kandi
67. ""It Ain't My Fault 2/Somebody Like Me"" - Silkk The Shocker feat. Mystikal
66. ""Funkdafied"" - Da Brat
65. ""Rump Shaker"" - Wreckx-N-Effect
64. ""Around The Way Girl"" - LL Cool J
63. ""Callin' Me"" - Lil' Zane feat. 112
62. ""Mind Playing Tricks On Me"" - Geto Boys
61. ""Work It"" - Missy ""Misdemeanor"" Elliot
60. ""Dilemma"" - Nelly feat. Kelly Rowland
59. ""Get Money"" - Junior M.A.F.I.A
58. ""Lean Wit It, Rock Wit It"" - Dem Franchize Boyz feat. Lil Peanut & Charlay
57. ""I Got 5 On It"" - Luniz
56. ""They Want EFX"" - Das EFX
55. ""Ghetto Cowboy"" - Mo Thugs Family feat. Bone Thugs-N-Harmony
54. ""Raise Up"" - Petey Pablo
53. ""It's Goin' Down"" - Young Joc
52. ""Empire State of Mind"" - Jay Z & Alicia Keys
51. ""Da' Dip"" - Freak Nasty
50. ""Good Life"" - Kanye West feat. T-Pain
49. ""Bounce With Me"" - Lil Bow Wow feat. Xscape
48. ""Moment 4 Life"" - Nicki Minaj feat. Drake
47. ""Walk It Out"" - Unk
46. ""Nothin' On You"" - B.o.B feat. Bruno Mars
45. ""Dead and Gone"" - T.I. feat. Justin Timberlake
44. ""No Time"" - Lil' Kim feat. Puff Daddy
43. ""Right Thurr"" - Chingy
42. ""Gangnam Style"" - PSY
41. ""I'll Be Missing You"" - Puff Daddy & Faith Evans feat. 1121
40. ""Déjà Vu (Uptown Baby)"" - Lord Tariq & Peter Gunz
39. ""Bedrock"" - Young Money feat. Lloyd
38. ""Lollipop"" - Lil Wayne feat. Static Major
37. ""In Da Club"" - 50 Cent
36. ""Who Dat"" - JT Money feat. Sole
35. ""One More Chance/Stay With Me"" - The Notorious B.I.G
34. ""Knockin' Boots"" - Candyman
33. ""Up Jumps Da Boogie"" - Magoo and Timbaland
32. ""I Want It All"" - Warren G. feat. Mack 10
31. ""Treat 'Em Right"" - Chubb Rock
30. ""I Like Dem Girlz"" - Lil Jon & The East Side Boyz
29. ""Dansin Wit Wolvez"" - Strik 9ine
28. ""Me So Horny"" - 2 Live Crew
27. ""Live Your Life"" - T.I. feat. Rihanna
26. ""Look At Me Now"" - Chris Brown feat. Lil Wayne & Busta Rhymes
25. ""Holy Grail"" - Jay Z feat. Justin Timberlake
24. ""I'm On One"" - DJ Khaled feat. Drake, Rick Ross & Lil Wayne
23. ""Get Low"" - Lil Jon & The East Side Boyz feat. Ying Yang Twins
22. ""Cross The Border"" - Philly's Most Wanted
21. ""Drop It Like It's Hot"" - Snoop Dogg feat. Pharrell
20. ""Lean Back"" - Terror Squad
19. ""The Phuncky Feel One/How I Could..."" - Cypress Hill
18. ""Ni**as In Paris"" - Jay Z, Kanye West
17. ""Mercy"" - Kanye West, Big Sean, Pusha T, 2 Chainz
16. ""Can't Nobody Hold Me Down"" - Puff Daddy feat. Mase
15. ""How Do U Want It/California Love"" - 2Pac feat. K-Ci and JoJo
14. ""Best I Ever Had"" - Drake
13. ""Whatever You Like"" - T.I
12. ""Low"" - Flo Rida feat. T-Pain
11. ""The Motto"" - Drake feat. Lil Wayne
10. ""The Humpty Dance"" - Digital Underground
9. ""No Hands"" - Waka Flocka Flame feat. Roscoe Dash & Wale
8. ""Big Poppa/Warning"" - The Notorious B.I.G
7. ""Flava In Ya Ear"" - Craig Mack
6. ""Gangsta's Paradise"" - Coolio feat. L.V
5. ""Expression"" - Salt-N-Pepa
4. ""Can't Hold Us"" - Macklemore & Ryan Lewis feat. Ray Dalton
3. ""Hot Boyz"" - Missy ""Misdemeanor"" Elliot feat. Nas, Eve, & Q-Tip
2. ""Tootsee Roll"" - 69 Boyz
1. ""Thrift Shop"" - Macklemore & Ryan Lewis feat. WanzYou might also likeEmbed"
Wake Me Up - Radio Edit,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']","3 ContributorsWake Me Up (EDX Miami Sunset Radio Edit) Lyrics
Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start
They tell me I'm too young to understand
They say I'm caught up in a dream
Well life will pass me by if I don't open up my eyes
Well that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost

I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans
Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize
You might also like
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost

Didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't knowEmbed"
sunburn,JUNO,['sleep'],"1 ContributorThat’s All I Know LyricsI think honesty is right, think lying is wrong
I think Willy and Haggard wrote some awful good songs
I think God rides around with the radio on, in a ragged ole truck just like mine
I don't think it's as bad as the newspaper says
I think Vegas is rigged, But then I wouldn't bet on these theories and thoughts rollin' round in my head
Cuz they change and they turn on a dime
Chorus:
But I know there's a sun and at night there's a moon
I get cold in December and sunburnt in June
This ole world keeps turnin'
Time it ain't movin, it's slow!
There's a woman that loves me like nobody can
She's my reason for livin', the reason I am
The luckiest man in the world
And that's all I know
I think taxes are high, think politics stink
But old Unlce Sam don't give a damn what I think
And I don't believe worms aughta be in a drink
But I swallowed once on a dare
Think there's only one Beatles and Elvis is dead
And I don't believe half of the stuff we been feed
From the spoons in the hands of those ole talkin' heads
I'm not even sure that I care
You might also likeChorus:
But I know there's a sun and at night there's a moon
I get cold in December and sunburnt in June
This ole world keeps turnin'
Time it ain't movin, it's slow!
There's a woman that loves me like nobody can
She's my reason for livin', the reason I am
The luckiest man in the world
And that's all I know
I've got a family that loves me like nobody can
They're my reason for livin', the reason I am
The luckiest man in the world
I'm the luckiest man in the world!
And that's all I know
That's all I know
That's all I know!!Embed"
